open_time,open,high,low,close,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T,predicted_r,predicted_sigma
2025-09-13 09:00:00,1890,1890,1890,1890,115886.17,116000,0.01711157,0.00205339,0.01916496,0.39166594,0.25444233
2025-09-13 10:00:00,1890,1890,1890,1890,115957.0,116000,0.01699749,0.00216747,0.01916496,0.37789428,0.25137466
2025-09-13 11:00:00,1890,1890,1890,1890,115698.4,116000,0.01688341,0.00228154,0.01916496,0.75918704,0.2025635
2025-09-13 12:00:00,1775,1775,1775,1775,115704.04,116000,0.01676934,0.00239562,0.01916496,0.5501999,0.22735356
2025-09-13 13:00:00,1750,1750,1750,1750,115749.99,116000,0.01665526,0.0025097,0.01916496,0.6966889,0.18936124
2025-09-13 14:00:00,1750,1750,1750,1750,115778.71,116000,0.01654118,0.00262377,0.01916496,0.69561243,0.18710199
2025-09-13 15:00:00,1770,1820,1770,1820,115978.01,116000,0.0164271,0.00273785,0.01916496,0.46723494,0.2282113
2025-09-13 16:00:00,1840,1840,1790,1790,116035.33,116000,0.01631303,0.00285193,0.01916496,0.48087746,0.21436802
2025-09-13 17:00:00,1840,1920,1835,1835,115937.99,116000,0.01619895,0.00296601,0.01916496,0.59616965,0.21125491
2025-09-13 18:00:00,1835,1835,1835,1835,115974.11,116000,0.01608487,0.00308008,0.01916496,0.57319534,0.21297705
2025-09-13 19:00:00,1835,1835,1835,1835,116002.91,116000,0.0159708,0.00319416,0.01916496,0.56512845,0.21305801
2025-09-13 20:00:00,1835,1835,1835,1835,115761.05,116000,0.01585672,0.00330824,0.01916496,0.09084061,0.32172158
2025-09-13 21:00:00,1680,1680,1680,1680,115797.68,116000,0.01574264,0.00342231,0.01916496,0.08223982,0.294471
2025-09-13 22:00:00,1680,1680,1680,1680,115768.68,116000,0.01562856,0.00353639,0.01916496,0.09110917,0.2966125
2025-09-13 23:00:00,1680,1680,1680,1680,115334.0,116000,0.01551449,0.00365047,0.01916496,1.0252814,0.17329197
2025-09-14 00:00:00,1430,1430,1430,1430,115571.78,116000,0.01540041,0.00376454,0.01916496,0.19301952,0.25712723
2025-09-14 01:00:00,1540,1540,1540,1540,115633.92,116000,0.01528633,0.00387862,0.01916496,0.15882236,0.277329
2025-09-14 02:00:00,1540,1540,1540,1540,115797.12,116000,0.01517226,0.0039927,0.01916496,0.055432566,0.27996218
2025-09-14 03:00:00,1540,1540,1540,1540,115905.88,116000,0.01505818,0.00410678,0.01916496,0.17811655,0.25276157
2025-09-14 04:00:00,1680,1680,1680,1680,115895.39,116000,0.0149441,0.00422085,0.01916496,0.0690028,0.294881
2025-09-14 05:00:00,1675,1675,1675,1675,115871.58,116000,0.01483003,0.00433493,0.01916496,0.036442455,0.3034865
2025-09-14 06:00:00,1675,1675,1675,1675,115918.29,116000,0.01471595,0.00444901,0.01916496,0.06580102,0.29754907
2025-09-14 07:00:00,1675,1675,1675,1675,115935.6,116000,0.01460187,0.00456308,0.01916496,0.077844955,0.29352987
2025-09-14 08:00:00,1675,1675,1675,1675,115962.93,116000,0.01448779,0.00467716,0.01916496,0.13356043,0.28346023
2025-09-14 09:00:00,1675,1675,1675,1675,115852.95,116000,0.01437372,0.00479124,0.01916496,0.019661514,0.31239513
2025-09-14 10:00:00,1675,1675,1675,1675,115679.98,116000,0.01425964,0.00490532,0.01916496,0.15650229,0.3094466
2025-09-14 11:00:00,1675,1675,1675,1675,115750.99,116000,0.01414556,0.00501939,0.01916496,0.049427312,0.3199233
2025-09-14 12:00:00,1620,1620,1620,1620,115860.01,116000,0.01403149,0.00513347,0.01916496,0.01726076,0.3059569
2025-09-14 13:00:00,1620,1620,1620,1620,115734.23,116000,0.01391741,0.00524755,0.01916496,0.14063294,0.30104917
2025-09-14 14:00:00,1555,1555,1555,1555,115805.39,116000,0.01380333,0.00536162,0.01916496,0.037193682,0.2988068
2025-09-14 15:00:00,1555,1555,1555,1555,115933.4,116000,0.01368925,0.0054757,0.01916496,0.020435315,0.2906435
2025-09-14 16:00:00,1700,1800,1700,1800,116052.09,116000,0.01357518,0.00558978,0.01916496,0.08989761,0.3159417
2025-09-14 17:00:00,1800,1800,1800,1800,116027.26,116000,0.0134611,0.00570386,0.01916496,0.037025403,0.3274068
2025-09-14 18:00:00,1705,1705,1705,1705,115794.91,116000,0.01334702,0.00581793,0.01916496,0.15653016,0.31599528
2025-09-14 19:00:00,1705,1705,1705,1705,115776.31,116000,0.01323295,0.00593201,0.01916496,0.18417263,0.31555793
2025-09-14 20:00:00,1445,1445,1445,1445,115348.1,116000,0.01311887,0.00604609,0.01916496,0.7832222,0.22010468
2025-09-14 21:00:00,1490,1490,1400,1400,115401.75,116000,0.01300479,0.00616016,0.01916496,0.61988616,0.23375362
2025-09-14 22:00:00,1405,1405,1405,1405,115224.01,116000,0.01289071,0.00627424,0.01916496,0.7704844,0.23218799
2025-09-14 23:00:00,1405,1405,1405,1405,115480.0,116000,0.01277664,0.00638832,0.01916496,0.24685612,0.28425303
2025-09-15 00:00:00,1510,1510,1510,1510,115557.65,116000,0.01266256,0.0065024,0.01916496,0.17016757,0.30903304
2025-09-15 01:00:00,1445,1445,1445,1445,115388.21,116000,0.01254848,0.00661647,0.01916496,0.68382144,0.24194902
2025-09-15 02:00:00,1445,1445,1445,1445,115634.99,116000,0.01243441,0.00673055,0.01916496,0.17715962,0.2913465
2025-09-15 03:00:00,1445,1445,1445,1445,115802.16,116000,0.01232033,0.00684463,0.01916496,0.15130368,0.28010777
2025-09-15 04:00:00,1445,1445,1445,1445,116058.88,116000,0.01220625,0.0069587,0.01916496,0.0126625905,0.27513465
2025-09-15 05:00:00,1445,1445,1445,1445,116009.61,116000,0.01209217,0.00707278,0.01916496,0.050203905,0.27619183
